id,url,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Terrace area,Garden,Garden area,Surface of the land,Surface area of the plot of land,Number of facades ,Swimming pool,State of the building
10146186,https://www.immoweb.be/en/classified/apartment/for-sale/etterbeek/1040/10146186?searchId=63393bc012991,1040,APARTMENT,APARTMENT,275000,residential_sale,,75,INSTALLED,False,True,True,9,,,,,2,,TO_BE_DONE_UP
10145269,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10145269?searchId=63393bc012991,1200,APARTMENT,APARTMENT,275000,residential_sale,,83,HYPER_EQUIPPED,False,False,True,5,,,,,2,False,AS_NEW
10145286,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/gent-sint-denijs-westrem/9051/10145286?searchId=63393bc012991,9051,APARTMENT_GROUP,APARTMENT_GROUP,,group_sale,,,,,False,,,,,,,1,,
10141214,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/10141214?searchId=63393bc012991,1050,APARTMENT,APARTMENT,1995000,residential_sale,7,277,USA_HYPER_EQUIPPED,False,True,True,87,,,,,4,False,JUST_RENOVATED
9881253,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/brussels-city/1000/9881253?searchId=63393bc012991,1000,APARTMENT_GROUP,APARTMENT_GROUP,,group_sale,,,,,False,,,,,,,1,,
10143541,https://www.immoweb.be/en/classified/apartment/for-sale/laeken/1020/10143541?searchId=63393bc012991,1020,APARTMENT,APARTMENT,220000,residential_sale,,70,SEMI_EQUIPPED,False,False,True,5,,,,,2,,AS_NEW
10143954,https://www.immoweb.be/en/classified/apartment/for-sale/hoboken/2660/10143954?searchId=63393bc012991,2660,APARTMENT,APARTMENT,225000,residential_sale,,81,INSTALLED,False,False,True,9,,,,,2,,AS_NEW
10074861,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/zedelgem/8210/10074861?searchId=63393bc012991,8210,APARTMENT_GROUP,APARTMENT_GROUP,,group_sale,,,,False,False,,,,,,,1,,
10143882,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/evere/1140/10143882?searchId=63393bc012991,1140,APARTMENT_GROUP,APARTMENT_GROUP,,group_sale,,,,False,False,,,,,,,1,,
10143225,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/wavre/1300/10143225?searchId=63393bc012991,1300,APARTMENT_GROUP,APARTMENT_GROUP,,group_sale,,,,,False,,,,,,,1,,
10142884,https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/10142884?searchId=63393bc012991,1140,APARTMENT,APARTMENT,315000,residential_sale,,95,HYPER_EQUIPPED,,False,True,,,,,,,False,GOOD
10143801,https://www.immoweb.be/en/classified/duplex/for-sale/gent/9000/10143801?searchId=63393bc012991,9000,APARTMENT,DUPLEX,370000,residential_sale,,127,HYPER_EQUIPPED,False,False,,,,,,,,,JUST_RENOVATED
10143472,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/chaumont-gistoux/1325/10143472?searchId=63393bc012991,1325,APARTMENT_GROUP,APARTMENT_GROUP,,group_sale,,,,,False,,,,,,,1,,
10143254,https://www.immoweb.be/en/classified/house/for-sale/waimes/4950/10143254?searchId=63393bc012991,4950,HOUSE,HOUSE,425000,residential_sale,,130,SEMI_EQUIPPED,False,False,True,14,,,991,991,4,False,GOOD
10092917,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/bruxelles/1000/10092917?searchId=63393bc012991,1000,APARTMENT_GROUP,APARTMENT_GROUP,,group_sale,,,,,False,,,,,,,1,,
10143136,https://www.immoweb.be/en/classified/apartment-block/for-sale/ronse/9600/10143136?searchId=63393bc012991,9600,HOUSE,APARTMENT_BLOCK,450000,residential_sale,,306,INSTALLED,False,False,True,12,True,215,460,460,2,False,GOOD
10142887,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/10142887?searchId=63393bc012991,1150,HOUSE,HOUSE,750000,residential_sale,,200,INSTALLED,False,False,True,,,,360,360,3,False,TO_RENOVATE
10143366,https://www.immoweb.be/en/classified/exceptional-property/for-sale/dalhem/4607/10143366?searchId=63393bc012991,4607,HOUSE,EXCEPTIONAL_PROPERTY,849000,residential_sale,,1010,HYPER_EQUIPPED,False,False,True,80,True,15324,16839,16839,4,False,GOOD
10140837,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/10140837?searchId=63393bc012991,9600,HOUSE,HOUSE,129000,residential_sale,,165,NOT_INSTALLED,False,False,,,True,430,610,610,2,False,TO_RENOVATE
9948992,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/berlaar/2590/9948992?searchId=63393bc012991,2590,APARTMENT_GROUP,APARTMENT_GROUP,,group_sale,,,,False,False,,,,,,,1,,
10142206,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/10142206?searchId=63393bc012991,1050,APARTMENT,APARTMENT,215000,residential_sale,,66,SEMI_EQUIPPED,False,False,,,,,,,2,False,GOOD
10141695,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/willebroek/2830/10141695?searchId=63393bc012991,2830,APARTMENT_GROUP,APARTMENT_GROUP,,group_sale,,,,False,False,,,,,,,1,,
10052020,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-st-lambert/1200/10052020?searchId=63393bc012991,1200,APARTMENT,APARTMENT,249000,residential_sale,,68,INSTALLED,False,False,,,,,,,,False,TO_BE_DONE_UP
10140797,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/gent/9000/10140797?searchId=63393bc012991,9000,APARTMENT_GROUP,APARTMENT_GROUP,,group_sale,,,,,False,,,,,,,1,,
10141588,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/de-klinge/9170/10141588?searchId=63393bc012991,9170,APARTMENT_GROUP,APARTMENT_GROUP,,group_sale,,,,False,False,,,,,,,1,,
10140738,https://www.immoweb.be/en/classified/new-real-estate-project-apartments/for-sale/roeselare/8800/10140738?searchId=63393bc012991,8800,APARTMENT_GROUP,APARTMENT_GROUP,,group_sale,,,,,False,,,,,,,1,,
